a	b	c	r_x	y_0	Dy_0
1	0.0	30	t**2	0.1	0.1
1	0.0	32	t	0.2	0.1
1	0.0	34	sin(t)	0.5	0.0
1	0.0	36	cos(t)	1.0	0.1
1	0.0	38	exp(t)	0.5	0.1
1	0.0	40	exp(t)	0.2	0.0
1	0.0	42	t	0.1	0.05
1	0.0	44	sin(t)	0.2	0.1
1	0.0	46	sin(t)	0.1	0.0
1	0.0	48	cos(t)	0.2	0.0
1	0.25	30	exp(t)	0.0	0.05
1	0.25	32	t	0.2	0.0
1	0.25	34	t**2	0.2	0.05
1	0.25	36	t**2	0.1	0.1
1	0.25	38	t**2	1.0	0.0
1	0.25	40	t	0.5	0.1
1	0.25	42	exp(t)	1.0	0.05
1	0.25	44	t**2	1.0	0.05
1	0.25	46	exp(t)	0.1	0.1
1	0.25	48	t**2	0.2	0.1
1	0.5	30	t**2	0.2	0.0
1	0.5	32	cos(t)	1.0	0.0
1	0.5	34	sin(t)	1.0	0.0
1	0.5	36	t	0.1	0.0
1	0.5	38	cos(t)	1.0	0.1
1	0.5	40	cos(t)	0.0	0.05
1	0.5	42	exp(t)	0.0	0.05
1	0.5	44	exp(t)	0.1	0.05
1	0.5	46	sin(t)	0.2	0.0
1	0.5	48	exp(t)	1.0	0.0
1	0.75	30	sin(t)	0.5	0.05
1	0.75	32	sin(t)	0.5	0.0
1	0.75	34	t	0.5	0.1
1	0.75	36	exp(t)	0.1	0.0
1	0.75	38	sin(t)	0.1	0.05
1	0.75	40	t**2	1.0	0.1
1	0.75	42	t**2	0.2	0.0
1	0.75	44	exp(t)	1.0	0.05
1	0.75	46	cos(t)	0.5	0.1
1	0.75	48	t**2	0.5	0.1
1	1.0	30	cos(t)	0.0	0.1
1	1.0	32	sin(t)	1.0	0.05
1	1.0	34	t	0.1	0.0
1	1.0	36	exp(t)	0.0	0.1
1	1.0	38	sin(t)	0.5	0.1
1	1.0	40	sin(t)	0.0	0.0
1	1.0	42	exp(t)	0.2	0.05
1	1.0	44	exp(t)	0.0	0.0
1	1.0	46	exp(t)	0.5	0.0
1	1.0	48	cos(t)	1.0	0.1
1	1.25	30	t	0.5	0.1
1	1.25	32	t	0.5	0.0
1	1.25	34	sin(t)	1.0	0.05
1	1.25	36	t**2	0.5	0.05
1	1.25	38	sin(t)	1.0	0.0
1	1.25	40	cos(t)	1.0	0.0
1	1.25	42	t	0.1	0.1
1	1.25	44	cos(t)	0.1	0.0
1	1.25	46	sin(t)	0.1	0.05
1	1.25	48	t**2	0.2	0.1
1	1.5	30	cos(t)	0.0	0.05
1	1.5	32	t	0.1	0.1
1	1.5	34	cos(t)	1.0	0.1
1	1.5	36	t**2	0.2	0.0
1	1.5	38	sin(t)	0.1	0.0
1	1.5	40	exp(t)	0.0	0.0
1	1.5	42	sin(t)	0.5	0.05
1	1.5	44	exp(t)	0.1	0.05
1	1.5	46	sin(t)	0.5	0.1
1	1.5	48	cos(t)	0.5	0.1
1	1.75	30	cos(t)	0.5	0.0
1	1.75	32	t	0.2	0.05
1	1.75	34	exp(t)	0.5	0.05
1	1.75	36	cos(t)	0.0	0.0
1	1.75	38	sin(t)	0.1	0.0
1	1.75	40	t**2	0.2	0.1
1	1.75	42	sin(t)	0.2	0.05
1	1.75	44	cos(t)	0.2	0.05
1	1.75	46	cos(t)	1.0	0.05
1	1.75	48	t**2	0.2	0.0
2	0.0	30	cos(t)	0.1	0.05
2	0.0	32	exp(t)	0.2	0.05
2	0.0	34	cos(t)	0.1	0.05
2	0.0	36	t	0.2	0.05
2	0.0	38	sin(t)	0.0	0.05
2	0.0	40	t**2	1.0	0.05
2	0.0	42	sin(t)	0.2	0.1
2	0.0	44	exp(t)	0.0	0.1
2	0.0	46	t**2	0.0	0.1
2	0.0	48	t	0.1	0.1
2	0.25	30	t	0.1	0.0
2	0.25	32	exp(t)	0.1	0.0
2	0.25	34	cos(t)	0.5	0.1
2	0.25	36	exp(t)	0.5	0.0
2	0.25	38	exp(t)	0.5	0.05
2	0.25	40	sin(t)	0.0	0.1
2	0.25	42	sin(t)	0.0	0.0
2	0.25	44	t	0.0	0.05
2	0.25	46	t	1.0	0.05
2	0.25	48	cos(t)	0.2	0.0
2	0.5	30	exp(t)	0.0	0.1
2	0.5	32	exp(t)	0.0	0.05
2	0.5	34	exp(t)	0.5	0.1
2	0.5	36	t**2	0.2	0.0
2	0.5	38	cos(t)	1.0	0.1
2	0.5	40	t	0.2	0.1
2	0.5	42	t**2	1.0	0.05
2	0.5	44	cos(t)	0.0	0.1
2	0.5	46	exp(t)	0.2	0.05
2	0.5	48	t**2	0.1	0.05
2	0.75	30	sin(t)	1.0	0.0
2	0.75	32	sin(t)	1.0	0.05
2	0.75	34	t	0.2	0.05
2	0.75	36	cos(t)	0.2	0.1
2	0.75	38	cos(t)	1.0	0.0
2	0.75	40	t**2	0.2	0.1
2	0.75	42	cos(t)	1.0	0.0
2	0.75	44	cos(t)	0.5	0.05
2	0.75	46	cos(t)	0.5	0.0
2	0.75	48	sin(t)	0.5	0.1
2	1.0	30	t	0.1	0.1
2	1.0	32	sin(t)	0.1	0.05
2	1.0	34	t**2	0.5	0.05
2	1.0	36	t	0.5	0.05
2	1.0	38	cos(t)	0.5	0.0
2	1.0	40	sin(t)	1.0	0.05
2	1.0	42	exp(t)	1.0	0.1
2	1.0	44	sin(t)	1.0	0.0
2	1.0	46	exp(t)	0.1	0.05
2	1.0	48	t**2	0.5	0.0
2	1.25	30	cos(t)	1.0	0.1
2	1.25	32	t	1.0	0.1
2	1.25	34	t**2	0.0	0.05
2	1.25	36	sin(t)	1.0	0.05
2	1.25	38	t	0.5	0.0
2	1.25	40	t**2	0.5	0.05
2	1.25	42	t**2	1.0	0.0
2	1.25	44	t	0.1	0.05
2	1.25	46	t	0.1	0.05
2	1.25	48	t**2	0.5	0.1
2	1.5	30	cos(t)	0.0	0.0
2	1.5	32	t	0.5	0.1
2	1.5	34	cos(t)	0.0	0.0
2	1.5	36	t**2	0.0	0.1
2	1.5	38	sin(t)	0.0	0.05
2	1.5	40	cos(t)	0.0	0.05
2	1.5	42	exp(t)	1.0	0.1
2	1.5	44	exp(t)	0.5	0.1
2	1.5	46	exp(t)	0.5	0.0
2	1.5	48	cos(t)	0.5	0.0
2	1.75	30	sin(t)	0.2	0.05
2	1.75	32	exp(t)	0.2	0.05
2	1.75	34	t	0.0	0.1
2	1.75	36	t	0.5	0.05
2	1.75	38	cos(t)	0.1	0.1
2	1.75	40	sin(t)	0.1	0.05
2	1.75	42	t	0.5	0.1
2	1.75	44	sin(t)	0.0	0.05
2	1.75	46	exp(t)	0.1	0.0
2	1.75	48	sin(t)	1.0	0.0
3	0.0	30	t**2	0.5	0.1
3	0.0	32	t	1.0	0.05
