# latitude	longitude	altitude
6.264931	-75.570846	1462.000000
6.264922	-75.570688	1465.000000
6.264895	-75.570542	1465.000000
6.264864	-75.570419	1465.000000
6.264853	-75.570309	1465.000000
6.264841	-75.570218	1465.000000
6.264817	-75.570148	1465.000000
6.264810	-75.570066	1465.000000
6.264795	-75.569984	1464.000000
6.264783	-75.569891	1464.000000
6.264774	-75.569770	1464.000000
6.264756	-75.569661	1464.000000
6.264730	-75.569568	1464.000000
6.264707	-75.569469	1464.000000
6.264692	-75.569401	1464.000000
6.264702	-75.569360	1464.000000
6.264695	-75.569335	1464.000000
6.264695	-75.569321	1464.000000
6.264684	-75.569318	1464.000000
6.264687	-75.569317	1464.000000
6.264686	-75.569319	1464.000000
6.264685	-75.569321	1464.000000
